mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
95;150.194&P213p;Psicología;Papalia, Diane E.;1988;Schaum McGraw-Hill;
95;150.194&P213p;Psicología;Papalia, Diane E.;1988;Schaum McGraw-Hill;
95;150.194&P213p;Psicología;Papalia, Diane E.;1988;Schaum McGraw-Hill;
96;150.1&F145t;Teorias de la personalidad;Fadiman, James;1979;Harla;
97;150&M478P;Psicología;McConnell, James V.;1978;Interamericana;2 ed.
98;150&W624p;Psicología;Whittaker, James O.;1984;Nueva Editorial Interamericana;4 ed.
99;302&A969e;evolución de la cooperación;Axelrod, Robert;1984;Alianza;
100;302&W945p;Psicología, un enfoque social;Wrench, David F.;1971;Paidós;
101;301&K82m;Materialismo histórico;Konstantinov, F. V.;1956;Grijalbo;
102;301.32&B877p;Por el bien de la humanidad;Brown, Lester R.;1976;Diana;
103;301.020&2;Sociología;Horton, Paul B.;1977;McGraw-Hill;2 ed.
104;658&W499a;Administración de personal y recursos humanos;Werther, William B.;2000;McGraw-Hill;5. ed.
105;301.020&2;Sociología: del concepto a la práctica;Phillips, Bernard;1982;McGraw-Hill;
105;301.020&2;Sociología: del concepto a la práctica;Phillips, Bernard;1982;McGraw-Hill;
105;301.020&2;Sociología: del concepto a la práctica;Phillips, Bernard;1982;McGraw-Hill;
105;301.020&2;Sociología: del concepto a la práctica;Phillips, Bernard;1982;McGraw-Hill;
106;170&R696e;Etica;Rodriguez Luño, Angel;1982;Eunsa: Ediciones Universidad de Navarra;
107;658.8&F842;márketing de calidad total: el futuro inmediato de las ventas, el marketing y la publicidad;Fraser Robinson, J.;1997?;Ediciones Deusto;
108;174&B267e;Etica profesional;Barquero Corrales, Alfredo;1993;EUNED: Editorial Universidad Estatal a Distancia;
109;170.202&C678s;Sensación y percepción visual;Cohen, Josef;1986;Trillas;
110;170.202&C678s;Sensación y percepción auditiva y de los sentidos menores;Mohen, Jozef;1973;Trillas;
111;170.202&C678p;Psicología de los motivos personales;Cohen, Josef;1973;Trillas;
112;170.202&C678t;Psicología de los motivos sociales;Cohen, Jozef;1973;Trillas;
113;170.202&C678t;Conducta y condicionamiento operantes;Cohen, Jozef;1973;Trillas;
114;303.32&R733i;Instituciones y democracia en El Salvador;Roggenbuck, Stefan;1994;Imprenta Criterio;
114;303.32&R733i;Instituciones y democracia en El Salvador;Roggenbuck, Stefan;1994;Imprenta Criterio;
115;303&D131d;Después de la revolución: la autoridad en las sociedades avanzadas;Dahl, Robert A.;1994;Gedisa;
116;302.5&B914p;perspectiva humana en sociología;Bruyn, Severyn;1972;Amorrortu Editores;
116;302.5&B914p;perspectiva humana en sociología;Bruyn, Severyn;1972;Amorrortu Editores;
117;302.5&G558e;hombre y la humanidad : conflicto y comunicación entre culturas;Glenn, E. S.;1985;Paidos;
118;302.23&G354r;La responsabilidad social de la prensa;Gerald, J. Edward.;1965;Limusa;
118;302.23&G354r;La responsabilidad social de la prensa;Gerald, J. Edward.;1965;Limusa;
119;301&B825s;Sociología del trabajo;Braude, Lee;1978;Omnia;
120;170&B595a;Aproximación a la ética;Bilbeny, Norbert;1992;Ariel;
121;174&B877e;ética en la empresa: estrategia para las tomas de decisiones;Brown, Marvin T.;1990;Paidos;
121;174&B877e;ética en la empresa: estrategia para las tomas de decisiones;Brown, Marvin T.;1990;Paidos;
