mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
4371;COL.NB&621.32&H794s;Simplied Daylight Tables;Hopkinson, R.G.;1958;s.n;
4372;COL.NB&621.4&M992r;Earthquake Resistant Regulations of The World;S.A.;1960;s.n;
4374;COL.NB&A621.483 1&D582;Military Standard Dimensioning and Tolerancing;S.A.;1960;s.n;
4380;COL.NB&621.8&D814m;Manuale per la costruzione di macchine;Dubbel, H.;1928;s.n;
4380;COL.NB&621.8&D814m;Manuale per la costruzione di macchine;Dubbel, H.;1928;s.n;
4380;COL.NB&621.8&D814m;Manuale per la costruzione di macchine;Dubbel, H.;1928;s.n;
4381;COL.NB&621.8&N316;Equipment Operator 3 & 2;S.A.;1973;s.n;
4382;COL.NB&621.8&N831l;Handbook of Mechanical Design;Norden, George F.;1942;McGraw-Hill;
4383;COL.NB&621.811&H424m;Materials Handling Equipment;Olipphant, D.;1957;Clilton Company;
4384;COL.NB&621.815&F163p;Problems on the Design of Machine Elements;Faires, Virgil M.;1941;s.n;
4385;COL.NB&621.867 2&M294;Design Manual for Structural Tubing;S.A.;1974;Committee of Steel Pipe Producers;
4386;COL.NB&621.867 2&J91g;Guide Practique Pour la Pose et L'entretien D'UNE;Jules, Martín;1962;s.n;
4387;COL.NB&623.747 52&S612;Symposium on Concrete Construction in Aqueous Environments;S.A.;1964;s.n;
4388;COL.NB&623.818 21&G778m;Steel Designers' Manual;Gray, Charles S.;1955;Crosby Lockwood and son LTD;
4389;COL.NB&623.818 21&I59d;Plastic Design in Steel;S.A.;1969;American Institute of Stell Construction;
4390;COL.NB&623.888 1&H424a;Materials Handling Applications;Haynes, D. Oliphant;1958;Chilton Company;
4391;COL.NB&621.54&H886t;Conveyors and Related Equipment;Hudson, Wilbur G.;1950;John Wiley & Sons;
4392;COL.NB&624&C718m;Manuale dell' Ingegnere;Colombo, Giuseppe;1965;Ulrico Hoepli;
4393;COL.NB&624&I59;The Institution of Civil Engineers;S.A.;1962;s.n;
4394;COL.NB&624&M568a;American Civil Engineers' Handbook;Merriman, Thaddeus;1943;John Wiley & Son;
4394;COL.NB&624&M568a;American Civil Engineers' Handbook;Merriman, Thaddeus;1943;John Wiley & Son;
4395;COL.NB&624&M647i;Engineers as Writers;Miller, Walter J.;1953;D. Van Nostrand Company;
4396;COL.NB&624.1&B266e;Le Ossature Degli Edifici;Baroni, Mario;1953;Ulrico Hoepli;
4397;COL.NB&624.1&I54;The Structural Engineer;S.A.;1957;S/E;
4398;COL.NB&624.1&J69d;Deterioration, Maintenance, and Repair of Structures;Johnson, Sidney M.;1965;McGraw-Hill;
4399;COL.NB&624.101&C824c;Calcolo Rapido Delle Strutture Reticolare ad Elementi Diritti;Correngia, Domenico;1951;Ulrico Hoepli;
4400;COL.NB&624.1&M385;Manual on Foundation Investigations;S.A.;1967;s.n;
4401;COL.NB&624.151 36&A734m;Soil Mechanics in Road Construction;Armstrong, Christtopher F.;1961;Edward Arnold;
4402;COL.NB&624.151 36&C345f;Fundamental Foundations;Cassie, W. Fisher;1968;Elsevier Publishing Company;
4403;COL.NB&624.151 36&S944;Soil as an Engineering Material;S.A.;1969;s.n;
4404;COL.NB&624.101&C844c;Calcolo Rapido Delle Strutture Reticolari ad Elementi Diritti;Correngia, Domenico;1951;s.n;
4405;COL.NB&624.104 2&M689;Practical Ways to Cut Construction Costs;S.A.;1955;McGraw-Hill;
4406;COL.NB&624.151&F979;Foundations;S.A.;1970;S.E.;
4407;COL.NB&624.151 09&P366f;Foundation Engineering;Peck, Ralph B.;1974;John Wiley & Sons;
4411;COL.NB&624.151 363&M587;Soil Stabilization Methods;S.A.;1946;Seaman Motors;
4413;COL.NB&624.515 363&M294;Manual on Stabilized Soil Construction for Housing;S.A.;1958;s.n;
4414;COL.NB&624.151 4&B549e;Ensayos de Suelos Fundamentales para la Construcción;Bertram, George E.;1964;s.n;
4415;COL.NB&624.151 4&K18s;Soils and Soil Engineering;Karol, R.H.;1960;Prentice-Hall Hispanoamericana;
4416;COL.NB&624.151 4&M593;Methods of Testing Soils For Civil Engineering Purposes;S.A.;1964;s.n;
4417;COL.NB&624.151 4&P238e;Estudio del Subsuelo en el Sitio de Fundación del Edificio para la Biblioteca y Archivo de la Nación;Parker Escolan, Edgar;1960;Universidad de El Salvador;
4418;COL.NB&624.151 7&S225r;Le Pénétrométre et la Reconnaissance des Sols;Sanglerat, G.;1965;Dunod;
4419;COL.NB&624.151 7&Z73c;Engineering Soil Classification for Residential Developments;S.A.;1959;s.n;
4420;COL.NB&624.151 7&S817s;Soil;S.A.;1957;s.n;
4421;COL.NB&624.152&C321m;General Exvavation Methods;Carson, A. Brinton;1961;McGraw-Hill;
4422;COL.NB&624.152&C334c;Canteras a Cielo Abierto;Gascuñana, Martín;1951;Dossat S.A.;
4423;COL.NB&624.152&H838i;Basic Soils Engineering;Hough, B.K.;1961;s.n;
4424;COL.NB&624.152&Z36l;Landslides and Their Control;Zárruba, Vojtech;1969;Elsevier;
4425;COL.NB&624.157 1&H945c;Construction with moving forms;Hunter, L. E.;1951;Concrete Publications;
4426;COL.NB&624.152&I62;Landslide Investigations;S.A.;1961;s.n;
4427;COL.NB&624.16&A837p;Concrete Piles;S.A.;1951;;
4428;COL.NB&624.164&B986d;Lateral Force Distribution Coefficients and Stress Analysis for Walled Frames Together With A Method for Stress Investigation of Reinforced Concrete Buildings for Lateral Forces;Butler, Don W.;1955;;
4429;COL.NB&624.164&I44p;Presiones de Tierra Muros de Retención;Bowles, Joseph;1968;McGraw-Hill;
4430;COL.NB&624.17&F312p;Proceedings estructural Success or Failure;Feld, Jacob;1955;s.n;
4431;COL.NB&624.17&F363c;Cálculo de Estructuras Reticulares;Fernández Casado, Carlos;1952;Dossat;
4433;COL.NB&624.17&K16c;Le calcul des portiques etages multiples;kani, G.;1958;Dunod;
4434;COL.NB&624.17&K16r;Rigid Frame Formulas;Kleinlogel, A.;1972;Frederick Ungar Publishing Co.;
4435;COL.NB&624.17&L586f;Frames and Arches;Leontocich, Valerian;1959;McGraw-Hill;
4436;COL.NB&624.17&M621t;Theory of Structural Analysis and Design;Michalos, James;1958;The Ronald Press Company;
4437;COL.NB&624.17&R495s;Structural Design Guide to the ACI Building Code;Rice, Paul F.;1972;Van Nostrand Reinhold Company;
4438;COL.NB&624.17&S666a;Analysis of Structures;Smolira, M.;1955;s.n;
4439;COL.NB&624.17&S683;Soils Manual for Design of Asphalt Pavement Structures;S.A.;1962;s.n;
4444;COL.NB&624.171&B732a;Advanced Structural Analysis;Borg, Sidney F.;1959;D. Van Nostrand Company;
4445;COL.NB&624.171&G846f;Influence Line Tables;Griot, Gustav;1952;Frederick Ungar Publishing;
4446;COL.NB&624.171&H698a;The Analysis of Structures;Hoff, Nicholas;1956;John Wiley & Sons;
4447;COL.NB&624.171&I36c;Calcul Des Voiles Minces en Béton Armé;Issenmann Pilarski, L.;1958;Dunod;
4448;COL.NB&624.171&J25a;Fundamentals of Structural Analysis;Jakkula, A.A.;1955;D. Van Nostrand Company;
4449;COL.NB&624.171&K64m;Mehrstielige Rahmen;Kleinlogel, Adolf;1952;Frederick Ungar Publishing;
